latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.3681,142.1059,304.1,1.1,1,2020-05-26,0045,Terra,MODIS,58,6.03,278.9,9.2,D,0
-37.3445,141.1625,335.9,1,1,2020-05-26,0045,Terra,MODIS,90,6.03,287.2,40.2,D,0
-37.3461,141.1741,303.2,1,1,2020-05-26,0045,Terra,MODIS,45,6.03,284.5,6.8,D,0
-37.3536,141.1605,312.1,1,1,2020-05-26,0045,Terra,MODIS,72,6.03,284.6,13.4,D,0
-37.6711,142.8293,301.8,1.2,1.1,2020-05-26,0045,Terra,MODIS,49,6.03,277.1,8.9,D,0
-37.8262,141.3239,306.3,1.6,1.3,2020-05-26,0459,Aqua,MODIS,63,6.03,287.2,17.8,D,0
-37.8279,141.3174,302.8,1.6,1.3,2020-05-26,0459,Aqua,MODIS,54,6.03,287.1,12.8,D,0
-37.3733,142.1003,336.2,1.8,1.3,2020-05-26,0459,Aqua,MODIS,90,6.03,287.3,93.3,D,0
-36.9985,149.3271,307.6,1.4,1.2,2020-05-26,2350,Terra,MODIS,62,6.03,275.5,18.7,D,0
-37.306,141.1069,328.7,3.9,1.8,2020-05-27,0128,Terra,MODIS,82,6.03,284.6,209.2,D,0
-37.3019,141.1128,327.7,3.9,1.8,2020-05-27,0128,Terra,MODIS,81,6.03,284.5,201,D,0
-37.3042,141.0627,317.4,3.9,1.8,2020-05-27,0128,Terra,MODIS,68,6.03,284.1,123,D,0
-37.1821,149.252,324.3,1,1,2020-05-27,0404,Aqua,MODIS,83,6.03,285.8,24.3,D,0
-38.0086,144.0031,309.5,1.5,1.2,2020-05-27,0404,Aqua,MODIS,69,6.03,287.4,17.4,D,0
-37.8786,144.0403,308.3,1.5,1.2,2020-05-27,0404,Aqua,MODIS,67,6.03,286.4,18,D,0
-37.1837,149.2407,327,1,1,2020-05-27,0404,Aqua,MODIS,85,6.03,285.9,27.3,D,0
-37.1876,149.2354,302.4,2.1,1.4,2020-05-27,1329,Terra,MODIS,49,6.03,275.6,25.9,N,0
-37.171,149.2425,301,1.7,1.3,2020-05-28,0032,Terra,MODIS,40,6.03,280.9,11.6,D,0
-37.173,149.2629,303.9,1.7,1.3,2020-05-28,0032,Terra,MODIS,54,6.03,280.1,14.9,D,0
-34.0805,142.0685,300.3,1.1,1,2020-05-28,0032,Terra,MODIS,33,6.03,289.3,3.9,D,0
-37.1837,149.2124,300.6,3.2,1.7,2020-05-28,0447,Aqua,MODIS,40,6.03,283.3,34.5,D,0
-36.2569,142.574,307.3,1.4,1.2,2020-05-28,0448,Aqua,MODIS,65,6.03,289.1,11.5,D,0
-36.2541,142.5893,302.7,1.4,1.2,2020-05-28,0448,Aqua,MODIS,53,6.03,288.8,7.1,D,0
-37.1782,149.2403,308.8,1.6,1.3,2020-05-28,1234,Terra,MODIS,66,6.03,277,25.7,N,0
-37.1636,149.2467,305.1,1.1,1.1,2020-05-29,0352,Aqua,MODIS,61,6.03,284.2,9.6,D,0
-37.1652,149.2337,337.3,1.1,1.1,2020-05-29,0352,Aqua,MODIS,90,6.03,286.5,49.7,D,0
-37.1667,149.2209,346.4,1.1,1.1,2020-05-29,0352,Aqua,MODIS,94,6.03,287,68.7,D,0
-37.1556,149.2318,332.7,1.1,1.1,2020-05-29,0352,Aqua,MODIS,88,6.03,285.4,41.6,D,0
-37.1571,149.219,344.5,1.1,1.1,2020-05-29,0352,Aqua,MODIS,94,6.03,285.9,65,D,0
-36.1236,147.6145,306.5,1.3,1.1,2020-05-29,0352,Aqua,MODIS,37,6.03,285.5,11.5,D,0
-36.5592,142.4393,302.2,2.7,1.6,2020-05-29,0352,Aqua,MODIS,43,6.03,290.2,15.7,D,0
-36.1253,147.6229,313.8,1.3,1.1,2020-05-29,0352,Aqua,MODIS,74,6.03,287.2,19.3,D,0
-36.0268,142.092,305.7,2.8,1.6,2020-05-29,0352,Aqua,MODIS,62,6.03,291,24.3,D,0
-34.4166,142.2942,306.3,2.6,1.6,2020-05-29,0353,Aqua,MODIS,58,6.03,293,19.9,D,0
-34.4127,142.2868,305.6,2.6,1.6,2020-05-29,0353,Aqua,MODIS,59,6.03,293,18,D,0
-37.3145,142.0185,303.6,1.3,1.1,2020-05-30,0021,Terra,MODIS,0,6.03,284.2,11.4,D,0
-38.63,145.8225,300.2,1,1,2020-05-30,0021,Terra,MODIS,28,6.03,285.6,5.6,D,0
-37.8318,147.3096,305.4,1.6,1.2,2020-05-30,0435,Aqua,MODIS,61,6.03,288.6,14.1,D,0
-37.8353,147.2919,302.7,1.6,1.2,2020-05-30,0435,Aqua,MODIS,53,6.03,288.2,10.9,D,0
-38.0135,141.0305,308.9,1,1,2020-05-30,0435,Aqua,MODIS,68,6.03,288,10.1,D,0
-37.9092,140.8469,300,1,1,2020-05-30,0435,Aqua,MODIS,17,6.03,284.9,5.6,D,0
-36.4289,145.8926,311.1,1.4,1.2,2020-05-30,0435,Aqua,MODIS,71,6.03,287.7,17.8,D,0
-36.425,145.8845,312.1,1.4,1.2,2020-05-30,0435,Aqua,MODIS,72,6.03,287.5,20.1,D,0
-35.7803,146.6604,300.2,1.6,1.2,2020-05-30,0435,Aqua,MODIS,30,6.03,289.2,7.6,D,0
-35.6818,145.1428,311.8,1.3,1.1,2020-05-30,0435,Aqua,MODIS,72,6.03,290.3,16.1,D,0
-37.3003,141.1272,374.6,1.7,1.3,2020-06-03,0411,Aqua,MODIS,100,6.03,290.5,295.5,D,0
-37.295,141.1312,387.8,1.7,1.3,2020-06-03,0411,Aqua,MODIS,100,6.03,292.7,418.4,D,0
-37.2967,141.1116,389.4,1.7,1.3,2020-06-03,0411,Aqua,MODIS,100,6.03,293.5,436.9,D,0
-37.3022,141.1076,349.9,1.7,1.3,2020-06-03,0411,Aqua,MODIS,96,6.03,288.2,140.1,D,0
-37.2886,141.1254,376.6,1.7,1.3,2020-06-03,0411,Aqua,MODIS,100,6.03,290.5,313.1,D,0
-37.2904,141.1058,339.9,1.7,1.3,2020-06-03,0411,Aqua,MODIS,92,6.03,286.9,99,D,0
-34.0521,140.8496,301,1.6,1.3,2020-06-03,0411,Aqua,MODIS,28,6.03,287.5,8.7,D,0
-37.2901,141.1271,302.6,1,1,2020-06-03,1335,Terra,MODIS,50,6.03,276.4,10.2,N,0
-37.5478,144.0037,301.1,1.1,1.1,2020-06-04,0039,Terra,MODIS,44,6.03,281.3,8.4,D,0
-37.2897,141.1345,303.2,1,1,2020-06-04,0039,Terra,MODIS,55,6.03,283.5,7.6,D,0
-37.2988,141.1325,304.6,1,1,2020-06-04,0039,Terra,MODIS,59,6.03,282.5,8.5,D,0
-37.9102,144.3967,302.9,1.2,1.1,2020-06-04,0039,Terra,MODIS,54,6.03,284.3,7.8,D,0
-37.9128,144.4038,304.9,1.2,1.1,2020-06-04,0039,Terra,MODIS,60,6.03,284,10.2,D,0
-37.9172,144.3883,300,2,1.4,2020-06-04,0453,Aqua,MODIS,18,6.03,286.1,13.7,D,0
-37.2955,141.094,330,1.3,1.1,2020-06-04,0453,Aqua,MODIS,87,6.03,287.4,44.6,D,0
-37.2853,141.091,351.5,1.3,1.1,2020-06-04,0453,Aqua,MODIS,83,6.03,289.6,96.5,D,0
-38.4107,147.0329,326.7,2.8,1.6,2020-06-04,0453,Aqua,MODIS,80,6.03,285,119.8,D,0
-37.2927,141.109,317.6,1.3,1.1,2020-06-04,0453,Aqua,MODIS,78,6.03,285.2,24.2,D,0
-34.76,142.7544,304.6,1.9,1.3,2020-06-04,0454,Aqua,MODIS,59,6.03,289.9,13.6,D,0
-38.4068,147.0443,331.1,2.1,1.4,2020-06-04,2344,Terra,MODIS,87,6.03,283.2,94,D,0
-38.4075,147.0499,329.2,2.1,1.4,2020-06-04,2344,Terra,MODIS,86,6.03,282.8,90.4,D,0
-38.4086,147.0459,305.3,1.3,1.1,2020-06-05,0358,Aqua,MODIS,56,6.03,281.8,10.6,D,0
-38.4102,147.0314,322.6,1.3,1.1,2020-06-05,0358,Aqua,MODIS,82,6.03,286.6,30.1,D,0
-38.4001,147.0296,311.9,1.3,1.1,2020-06-05,0358,Aqua,MODIS,52,6.03,285.3,15.8,D,0
-36.4586,141.3241,300,2.5,1.5,2020-06-05,0359,Aqua,MODIS,19,6.03,289.1,15.6,D,0
-37.8299,147.3099,307.1,1.3,1.1,2020-06-08,0429,Aqua,MODIS,65,6.03,285,13.7,D,0
-37.8319,147.3206,305.3,1.3,1.1,2020-06-08,0429,Aqua,MODIS,51,6.03,284.9,11.9,D,0
-37.8346,147.3058,302.5,1.3,1.1,2020-06-08,0429,Aqua,MODIS,34,6.03,285.3,9.6,D,0
-34.9989,143.4113,302.2,1,1,2020-06-08,0430,Aqua,MODIS,51,6.03,290.5,4.3,D,0
-37.2686,141.076,311.3,1.3,1.1,2020-06-09,0057,Terra,MODIS,71,6.03,276.4,21.6,D,0
-37.8976,143.3783,300.5,1.8,1.3,2020-06-09,0057,Terra,MODIS,37,6.03,282.9,14.9,D,0
-37.3396,147.6462,301,2.6,1.5,2020-06-09,0334,Aqua,MODIS,44,6.03,283.9,26.2,D,0
-38.0719,144.1206,320.9,1.1,1,2020-06-10,0416,Aqua,MODIS,80,6.03,288.2,22.1,D,0
-38.0734,144.1084,306.1,1.1,1,2020-06-10,0416,Aqua,MODIS,63,6.03,288.7,9,D,0
-36.6029,146.5708,305.8,1,1,2020-06-10,0417,Aqua,MODIS,62,6.03,283.1,7.9,D,0
-36.6046,146.5594,303.2,1,1,2020-06-10,0417,Aqua,MODIS,55,6.03,280.5,6.4,D,0
-37.2837,141.0976,346.6,1.4,1.2,2020-06-10,0417,Aqua,MODIS,80,6.03,288.9,87.2,D,0
-37.2871,141.0655,308.5,1.4,1.2,2020-06-10,0417,Aqua,MODIS,22,6.03,285.4,14.4,D,0
-37.2714,141.1118,318.1,1.4,1.2,2020-06-10,0417,Aqua,MODIS,62,6.03,287.3,25.6,D,0
-37.273,141.0959,353.4,1.4,1.2,2020-06-10,0417,Aqua,MODIS,97,6.03,289.5,112.6,D,0
-37.2747,141.0799,380.6,1.4,1.2,2020-06-10,0417,Aqua,MODIS,100,6.03,296.3,257.7,D,0
-37.2764,141.0638,317.8,1.4,1.2,2020-06-10,0417,Aqua,MODIS,71,6.03,287.2,26.9,D,0
-37.259,141.126,319.4,1.4,1.2,2020-06-10,0417,Aqua,MODIS,72,6.03,286.1,28.4,D,0
-37.2607,141.11,380.4,1.4,1.2,2020-06-10,0417,Aqua,MODIS,100,6.03,292.7,256.3,D,0
-36.5928,142.6661,373.3,1.2,1.1,2020-06-10,0417,Aqua,MODIS,100,6.03,291.6,158.6,D,0
-36.5943,142.653,414,1.2,1.1,2020-06-10,0417,Aqua,MODIS,100,6.03,301.7,435,D,0
-36.5831,142.6643,359.6,1.2,1.1,2020-06-10,0417,Aqua,MODIS,99,6.03,291.8,105.4,D,0
-36.5846,142.6512,364.1,1.2,1.1,2020-06-10,0417,Aqua,MODIS,100,6.03,293.1,121.5,D,0
-36.5799,142.6702,305.2,1.2,1.1,2020-06-10,0417,Aqua,MODIS,61,6.03,289.2,7.3,D,0
-36.5815,142.6572,342.6,1.2,1.1,2020-06-10,0417,Aqua,MODIS,93,6.03,292.5,59.7,D,0
-36.583,142.6441,300.7,1.2,1.1,2020-06-10,0417,Aqua,MODIS,19,6.03,290.2,3.9,D,0
-34.7121,143.0244,304.5,1.1,1,2020-06-10,0417,Aqua,MODIS,57,6.03,292.4,5.7,D,0
-34.4747,143.2007,300.7,1.1,1.1,2020-06-11,0044,Terra,MODIS,40,6.03,288.1,5.3,D,0
-36.9343,141.3633,303.6,1,1,2020-06-11,0045,Terra,MODIS,56,6.03,281.1,8.8,D,0
-37.9948,143.3345,302.9,1.2,1.1,2020-06-11,0045,Terra,MODIS,54,6.03,275.8,11.4,D,0
-36.1218,147.6218,300.6,3.9,1.8,2020-06-11,0322,Aqua,MODIS,40,6.03,282.7,45.1,D,0
-36.1264,147.6306,300.2,3.9,1.8,2020-06-11,0322,Aqua,MODIS,30,6.03,282.8,41.4,D,0
-37.4098,143.3254,302,2.2,1.4,2020-06-11,0459,Aqua,MODIS,50,6.03,285,21,D,0
-36.1553,147.6124,304.3,4.3,1.9,2020-06-11,0459,Aqua,MODIS,55,6.03,282.3,70,D,0
-36.1552,147.6081,303.2,4.3,1.9,2020-06-11,0459,Aqua,MODIS,55,6.03,282.4,61.3,D,0
-37.3156,141.1078,301.2,1.6,1.3,2020-06-11,0500,Aqua,MODIS,45,6.03,286.1,11.1,D,0
-36.1403,147.6193,300.1,1.3,1.1,2020-06-11,1247,Terra,MODIS,14,6.03,274.7,12.5,N,0
-37.5337,148.1481,302.1,1,1,2020-06-12,0404,Aqua,MODIS,51,6.03,287.7,5.7,D,0
-37.4545,143.2688,303.6,1.6,1.2,2020-06-12,0404,Aqua,MODIS,57,6.03,282.5,15.8,D,0
-36.1529,147.6232,357,1,1,2020-06-12,0405,Aqua,MODIS,98,6.03,288.5,82.8,D,0
-36.1468,147.6162,300.4,1,1,2020-06-12,0405,Aqua,MODIS,36,6.03,285.8,5.6,D,0
-37.7387,142.7854,324.4,1.2,1.1,2020-06-15,0021,Terra,MODIS,83,6.03,282.4,31.3,D,0
-33.9867,140.9395,301,1.4,1.2,2020-06-16,0102,Terra,MODIS,41,6.03,288.7,7.3,D,0
-34.4825,143.2039,309.2,2,1.4,2020-06-16,0103,Terra,MODIS,68,6.03,276.1,28.1,D,0
-37.1337,141.3669,317.9,2.1,1.4,2020-06-18,0506,Aqua,MODIS,78,6.03,283.8,52.5,D,0
-37.1339,141.3594,312.5,2.1,1.4,2020-06-18,0506,Aqua,MODIS,73,6.03,283.3,41.6,D,0
-38.3944,147.0396,339.8,1.4,1.2,2020-06-18,2356,Terra,MODIS,92,6.03,281.1,75.7,D,0
-38.3974,147.0554,306.8,1.4,1.2,2020-06-18,2356,Terra,MODIS,64,6.03,279.1,17,D,0
-38.4114,147.045,337,1,1,2020-06-19,0410,Aqua,MODIS,90,6.03,289.4,38.8,D,0
-38.396,147.0359,324.7,1,1,2020-06-19,0410,Aqua,MODIS,83,6.03,288.2,23.7,D,0
-37.831,144.7919,300.2,1.2,1.1,2020-06-20,0039,Terra,MODIS,31,6.03,285.6,5.7,D,2
-37.8666,143.4399,313,1.7,1.3,2020-06-20,0453,Aqua,MODIS,73,6.03,283.1,32.6,D,0
-37.8705,143.4204,323.2,1.7,1.3,2020-06-20,0453,Aqua,MODIS,82,6.03,282.7,53.6,D,0
-34.3089,142.1958,316.1,1,1,2020-06-24,0430,Aqua,MODIS,0,6.03,284.1,16,D,0
-37.0499,149.605,300.3,1,1,2020-06-26,0002,Terra,MODIS,34,6.03,283,7,D,0
-35.6744,145.1619,308.5,1,1,2020-06-26,0417,Aqua,MODIS,51,6.03,286,9.8,D,0
-37.5013,141.9744,333.3,1,1,2020-06-29,0033,Terra,MODIS,88,6.03,282.5,37.5,D,0
-37.9679,144.2923,301.8,1.6,1.2,2020-06-29,0447,Aqua,MODIS,49,6.03,285.9,11.9,D,0
-37.5415,142.4009,301,1.3,1.1,2020-06-29,0447,Aqua,MODIS,43,6.03,284.1,9.6,D,0
-37.4928,141.9812,309.4,1.2,1.1,2020-06-29,0447,Aqua,MODIS,68,6.03,284.3,14.4,D,0
